Plotter,bar,bar.molten,pie,pie.molten,scatter,scatter.molten,combo,combo.molten,box,box.molten,line,area,area.molten,graph,bubble,bubble.molten,tree,treemap,table,histogram,map,tsline,tsarea,tsbar,sankey,wordCloud,funnel,heatmap
billboarder,x,x,x,,,x,,,,,,,,,,,,,,,,x,x,,,,,
bpexploder,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
bubbles,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
c3,x,,x,,,x,x,,,,,,,,,,,,,,,x,,,,,,
candela,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
coffeewheel,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
d3plus,,,,,x,,,,,,,,,,x,x,x,x,,,,,,,,,,
DiagrammeR,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
dimple,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,
DT,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
dygraphs,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
echarts,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
ggvis,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,
googleVis,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,
highcharter,,,x,,x,x,x,,,,,,,,,,,,,,,x,,,,,,
highcharts,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x
leaflet,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
morrisjs,,,x,,,,,,,,,,,,,,,,,,,x,,x,,,,
networkD3,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
nvd3,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,
pivot,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
plotly,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,
rAmCharts,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,
rbokeh,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
rCharts,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
TFD3,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
visNetwork,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
xCharts,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
